Category1,Category2,ID,Action to perform,Why performing this action is important,Examples from FAIRTraits,Where the information is documented,Table containing the field (if relevant)
A) MAKE TRAIT DATA MEANINGFUL,,,,,,,
,A.1) Document the trait,,,,,,
,,A.1.1,"Describe a trait as a quality (Q) of an entity (E), a formalism widely used to describe the traits of organisms.",The E_Q formalism allows one to identify unequivocally the trait measured (semantic disambiguation).,"Each trait was modeled as a unique quality x entity combination. Qualities (i.e. area, mass, nitrogen content per dry mass) were measured on 17 entities. For example, nitrogen content per dry mass (a quality) has been measured on three root entities: absorptive roots (abr), transport roots (trr) and the whole root system (wrs), resulting in three quality x entity combinations for this specific quality: RNC_abr, RNC_trr and RNC_wrs.",[DwC] measurementTraitRemarks,FAIRTraits_TraitValues.txt
,,A.1.2,Describe the sampling protocols (of the entity),Improper sampling protocol can produce erroneous results and limit the value of data. Different sampling protocols for the same trait are likely to yield different values. Follow recommendations in handbooks when available.,"Full metadata on sampling protocols are provided for traits and environmental variables, at the level of each individual value. E.g. for RNC: ""Whole root system collected from one or several representative individuals of a population found in full light conditions"".",[DwC] samplingProtocol,FAIRTraits_TraitValues.txt
,,A.1.3,Record a unique identifier for the sample (if tracked across multiple measurements).,Allows multiple trait measurements to be correctly linked to the same sample.,The replicate on which a specific data record was taken was identified.,[DwC] organismID,FAIRTraits_TraitValues.txt
,,A.1.4,Describe the measurement methods (of the quality),"Improper measurement protocol can produce erroneous results and limit the value of data. Different measurement protocols for the same trait are likely to yield different values. When available, standardized protocols should be used (e.g. reference handbooks).","Full metadata on measurement protocols are provided for traits and environmental variables, at the level of each individual value. E.g. for RNC: ""Elemental analyser (CHN model EA 1108 Carlo Erba Instruments [Milan - Italy]) after ginding"".",[DwC] measurementMethod,FAIRTraits_TraitValues.txt
,,A.1.5,Use acknowledged standards when available.,"Adhering to domain-relevant community standards is a key step to ensure (i) quality measurement, (ii) reproducibility, and (iii) interoperabilty and reusability. Note that some questions might require the collection of data that do not comply to existing standards; in this case, detailed information should be given so that trait data can be properly interpreted.","Standard protocols for trait measurements were generally followed (Cornelissen et al., 2003; Freschet et al., 2021); when a protocol was not available, sampling and measurement methods were detailed in specific fields of the database.",[DwC] termSource; traitResourceIdentifier; traitLocalIdentifier,FAIRTraits_TraitValues.txt
,,A.1.6,Identify each replicate measurement,"Needed to connect trait measurements made on the same sample (e.g., SLA and LDMC on the same leaf).","In many cases, different traits were measured on the same sample, e.g., specific leaf area and leaf dry matter content. ",[DwC] materialSampleID,FAIRTraits_TraitValues.txt
,,A.1.7,"Record data at the finest resolution possible, that is, one record per trait measurement, which can even include the within-individual or within-organ level","The decision as to which aggregation level is relevant (e.g., population or species) should be left to the end users, allowing them to assemble appropriate data for their specific research questions. This places the responsibility of recording, storing, and publishing the finest trait value resolution possible on the data creator.","The exact number of replicates differed for each of the 180 traits measured, and the finest level of replication was conserved. Consequently, raw data without any aggretation procedure can be used, while the aggregation can be conducted, for example, at the level of populations (defined as the combination of species x site x plot x treatment x “field campaign”), treatment (species x site x treatment) or species (all populations of a given species).","[DwC] samplingProtocol, measurementMethod",FAIRTraits_TraitValues.txt
,,A.1.8,Homogenize units,"Unit is one of the minimal, essential features required to qualify continuous trait data, making data analyses possible. Units do not apply to categorical data.","For a given trait, values were homogeneized to a single unit across the whole data base, e.g. the RNC of all entities is expressed in mg.g-1.",[DwC] measurementUnit,FAIRTraits_TraitValues.txt
,,A.1.9,Record the date and time of each samping/measurement,Enables one to keep track of the measurements made.,"The date is reported to distinguish measurements made on the same species at different times: date is one of the variables used to distinguish ""populations"" (i.e. a given species measured in a given site in a given treatment in spring is considered a different population than the same species in the same treatment measured in autumn).",[DwC] year; month; day,FAIRTraits_TraitValues.txt
,,A.1.10,Report the geolocation of each sampling/measument (if necessary),Needed to connect the measurements to an ecological context (if made in the field).,"Latitude and longitude were reported in decimal degree, for both each site (barycenter of the site), and each measurement plot within a site.",traitPlotLatitude; traitPlotLongitude; traitPlotAltitude,FAIRTraits_TraitValues.txt
,A.2) Document the sampled organism,,,,,,
,,A.2.1,"Specify the full scientific name (if identified at the species level: binomial name, including genus and species, in Latin).","Provides a standardized identifier of the organism, ensuring clarity and avoiding confusion due to vernacular names.","Binomial names were used for each species. When the identification was made at the genus level, the abbrevation sp. replaced the species name, e.g., Carex sp..",[DwC] scientificName,FAIRTraits_Taxon.txt
,,A.2.2,If taxon identified at the species level: indicate the name of the author(s) of the species name (authority),"Ensures taxonomic precision, especially for species with homonyms or name changes","E.g., Carex humilis Leyss. 1758",[DwC] scientificName,FAIRTraits_Taxon.txt
